TRV,20-Oct-2020,Sep 2020,2.91,3.12,0.21,7.2
CUBE,05-Nov-2020,Sep 2020,0.41,0.44,0.03,7.3
WRK,05-Nov-2020,Sep 2020,0.68,0.73,0.05,7.3
EQIX,28-Oct-2020,Sep 2020,6.03,6.48,0.45,7.4
HP,19-Nov-2020,Sep 2020,-0.8,-0.74,0.06,7.5
KR,03-Dec-2020,Oct 2020,0.66,0.71,0.05,7.5
A,23-Nov-2020,Oct 2020,0.91,0.98,0.07,7.6
HUM,03-Nov-2020,Sep 2020,2.86,3.08,0.22,7.6
RETA,09-Nov-2020,Sep 2020,-2.1,-1.94,0.16,7.6
CTSH,28-Oct-2020,Sep 2020,0.9,0.97,0.07,7.7
TREX,02-Nov-2020,Sep 2020,0.38,0.41,0.03,7.8
XLNX,21-Oct-2020,Sep 2020,0.76,0.82,0.06,7.8
ANSS,04-Nov-2020,Sep 2020,1.26,1.36,0.1,7.9
BOH,26-Oct-2020,Sep 2020,0.88,0.95,0.07,7.9
IQV,20-Oct-2020,Sep 2020,1.51,1.63,0.12,7.9
SPGI,27-Oct-2020,Sep 2020,2.64,2.85,0.21,7.9
D,05-Nov-2020,Sep 2020,1,1.08,0.08,8
HBAN,22-Oct-2020,Sep 2020,0.25,0.27,0.02,8
MU,29-Sep-2020,Aug 2020,1,1.08,0.08,8
OMC,27-Oct-2020,Sep 2020,1.12,1.21,0.09,8
VIRT,06-Nov-2020,Sep 2020,0.75,0.81,0.06,8
ORCL,10-Sep-2020,Aug 2020,0.86,0.93,0.07,8.1
SWK,27-Oct-2020,Sep 2020,2.67,2.89,0.22,8.2
ELAN,06-Nov-2020,Sep 2020,0.12,0.13,0.01,8.3
HRC,06-Nov-2020,Sep 2020,1.08,1.17,0.09,8.3
JBLU,27-Oct-2020,Sep 2020,-1.91,-1.75,0.16,8.3
RNG,09-Nov-2020,Sep 2020,0.24,0.26,0.02,8.3
ANET,02-Nov-2020,Sep 2020,2.23,2.42,0.19,8.5
MRCY,03-Nov-2020,Sep 2020,0.47,0.51,0.04,8.5
SCHW,15-Oct-2020,Sep 2020,0.47,0.51,0.04,8.5
STLD,19-Oct-2020,Sep 2020,0.47,0.51,0.04,8.5
CSGP,27-Oct-2020,Sep 2020,2.08,2.26,0.18,8.6
EXP,29-Oct-2020,Sep 2020,1.86,2.02,0.16,8.6
ULTA,03-Dec-2020,Oct 2020,1.51,1.64,0.13,8.6
AM,28-Oct-2020,Sep 2020,0.23,0.25,0.02,8.7
HSY,06-Nov-2020,Sep 2020,1.71,1.86,0.15,8.7
WBS,22-Oct-2020,Sep 2020,0.69,0.75,0.06,8.7
ABT,21-Oct-2020,Sep 2020,0.9,0.98,0.08,8.8
AMP,28-Oct-2020,Sep 2020,1.35,1.47,0.12,8.8
HPE,01-Dec-2020,Oct 2020,0.34,0.37,0.03,8.8
NEM,29-Oct-2020,Sep 2020,0.79,0.86,0.07,8.8
ADI,24-Nov-2020,Oct 2020,1.32,1.44,0.12,9
ARD,22-Oct-2020,Sep 2020,0.44,0.48,0.04,9
DNB,05-Nov-2020,Sep 2020,0.22,0.24,0.02,9
NLOK,05-Nov-2020,Sep 2020,0.33,0.36,0.03,9
NUS,04-Nov-2020,Sep 2020,0.99,1.08,0.09,9
VRSK,04-Nov-2020,Sep 2020,1.21,1.32,0.11,9
WSO,22-Oct-2020,Sep 2020,2.53,2.76,0.23,9
LIN,05-Nov-2020,Sep 2020,1.97,2.15,0.18,9.1
CMG,21-Oct-2020,Sep 2020,3.44,3.76,0.32,9.3
ADSK,24-Nov-2020,Oct 2020,0.95,1.04,0.09,9.4
BMY,05-Nov-2020,Sep 2020,1.49,1.63,0.14,9.4
GWW,22-Oct-2020,Sep 2020,4.13,4.52,0.39,9.4
